word,prefixclass,suffix,ambisuffix,stemchange,stemchange.noD,comments
arise,rise,-@,-@,OW,OW,
awake,wake,-@,-@,OW,OW,
be,,suppletion,suppletion,was,was,
bear,,-@,-@,AO,AO,
beat,,-@,-t,no change,no change,
become,come,-@,-@,EY,EY,
befall,fall,-@,-@,EH,EH,
begin,,-@,-@,AE,AE,
behold,hold,-@,-@,EH,EH,
bend,,-t,-t,devoicing,no change,
beset,set,-@,-t,no change,no change,
bet,,-@,-t,no change,no change,
bind,,-@,-@,AW,AW,
bite,,-@,-t,shortening,shortening,
bleed,,-@,-d,shortening,shortening,
blow,,-@,-@,UW,UW,
break,,-@,-@,OW,OW,
breed,,-@,-d,shortening,shortening,
bring,,-t,-t,aught,aught,
build,,-t,-t,devoicing,no change,
burst,,-@,-t,no change,no change,
buy,,-t,-t,aught,aught,
cast,cast,-@,-t,no change,no change,
catch,,-t,-t,aught,aught,
choose,,-@,-@,OW,OW,
cling,,-@,-@,AH,AH,
come,come,-@,-@,EY,EY,
cost,,-@,-t,no change,no change,
cut,,-@,-t,no change,no change,
deal,,-t,-t,shortening,shortening,
dig,,-@,-@,AH,AH,
draw,draw,-@,-@,UW,UW,
drink,,-@,-@,AE,AE,
drive,,-@,-@,OW,OW,
eat,,-@,-@,EY,EY,
fall,fall,-@,-@,EH,EH,
feed,,-@,-d,shortening,shortening,
feel,,-t,-t,shortening,shortening,
fight,,-@,-t,AO,AO,
find,,-@,-@,AW,AW,
flee,,-d,-d,shortening,shortening,
fling,,-@,-@,AH,AH,
fly,,-@,-@,UW,UW,
forbid,,-@,-d,no change,no change,
forget,get,-@,-@,AA,AA,
forgo,go,suppletion,-t,went,went,*forwent
forgive,give,-@,-@,EY,EY,
freeze,,-@,-@,OW,OW,
give,give,-@,-@,EY,EY,
get,get,-@,-@,AA,AA,
go,go,suppletion,-t,went,went,/wen-t/ isn't crazy...
grind,,-@,-@,AW,AW,
grow,,-@,-@,UW,UW,
hang,,-@,-@,AH,AH,
have,,-d,-d,made/had,made/had,
hear,,-d,-d,ER,ER,
hide,,-@,-d,shortening,shortening,
hit,,-@,-t,no change,no change,
hold,hold,-@,-@,EH,EH,
hurt,,-@,-t,no change,no change,
keep,,-t,-t,shortening,shortening,
kneel,,-t,-t,shortening,shortening,
know,,-@,-@,UW,UW,
lead,,-@,-d,shortening,shortening,
leap,,-t,-t,shortening,shortening,
learn,,-t,-t,no change,no change,
leave,,-t,-t,shortening,shortening,automatic V->F
lend,,-t,-t,devoicing,no change,
let,,-@,-t,no change,no change,
lose,,-t,-t,AO,AO,
make,,-d,-d,made/had,made/had,
mean,,-t,-t,shortening,shortening,
meet,,-@,-t,shortening,shortening,
misspell,spell,-t,-t,no change,no change,
mistake,take,-@,-@,UW,UW,
overcome,come,-@,-@,EY,EY,
overtake,take,-@,-@,UW,UW,
overthrow,throw,-@,-@,UW,UW,
put,,-@,-t,no change,no change,
quit,,-@,-t,no change,no change,
read,,-@,-d,shortening,shortening,
ride,,-@,-@,OW,OW,
rise,rise,-@,-@,OW,OW,
run,,-@,-@,AE,AE,
say,,-d,-d,EH,EH,
seek,,-t,-t,aught,aught,
sell,,-d,-d,OW,OW,
send,,-t,-t,devoicing,no change,
set,set,-@,-t,no change,no change,
shake,,-@,-@,UH,UH,
shoot,,-@,-t,AA,AA,
shrink,,-@,-@,AE,AE,
shut,,-@,-t,no change,no change,
sing,,-@,-@,AH,AH,
sink,,-@,-@,AE,AE,
sit,,-@,-@,AE,AE,
slay,,-@,-@,UW,UW,
sleep,,-t,-t,shortening,shortening,
slide,,-@,-d,shortening,shortening,
sling,,-@,-@,AH,AH,
slit,,-@,-t,no change,no change,
smite,,-@,-@,OW,OW,
speak,,-@,-@,OW,OW,
speed,,-@,-d,shortening,shortening,
spell,spell,-t,-t,no change,no change,
spend,,-t,-t,devoicing,no change,
spill,,-t,-t,no change,no change,
spin,,-@,-@,AH,AH,
spit,,-@,-t,no change,no change,also "spat"
split,,-@,-t,no change,no change,
spoil,,-t,-t,no change,no change,
spread,,-@,-d,no change,no change,
spring,,-@,-@,AE,AE,
stand,stand,-@,-d,stood,stood,
steal,,-@,-@,OW,OW,
stick,,-@,-@,AH,AH,
sting,,-@,-@,AH,AH,
stink,,-@,-@,AE,AE,
string,,-@,-@,AH,AH,
stride,,-@,-@,OW,OW,
strike,,-@,-@,AH,AH,
strive,,-@,-@,OW,OW,
swear,,-@,-@,AO,AO,
sweep,,-t,-t,shortening,shortening,
swim,,-@,-@,AE,AE,
swing,,-@,-@,AH,AH,
take,take,-@,-@,UW,UW,
teach,,-t,-t,aught,aught,
tear,,-@,-@,AO,AO,
tell,,-d,-d,OW,OW,
think,,-t,-t,aught,aught,
throw,throw,-@,-@,UW,UW,
thrust,,-@,-t,no change,no change,
tread,,-@,-@,AA,AA,
undergo,go,suppletion,-t,went,went,
understand,stand,-@,-d,stood,stood,
uphold,hold,-@,-@,EH,EH,
upset,set,-@,-t,no change,no change,
wake,wake,-@,-@,OW,OW,
wear,,-@,-@,AO,AO,
weave,,-@,-@,OW,OW,
wed,,-@,-d,no change,no change,
weep,,-t,-t,shortening,shortening,
wet,,-@,-t,no change,no change,
win,,-@,-@,AH,AH,
wind,,-@,-@,AW,AW,
withdraw,draw,-@,-@,UW,UW,
withhold,hold,-@,-@,EH,EH,
withstand,stand,-@,-d,stood,stood,
write,,-@,-@,OW,OW,
